image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as1.ftcdn.net/jpg/03/84/07/68/500_F_384076882_qsEKhyRl8ethwAbPcB0qaKhfHMSv7jgn.jpg;Aspen Tree Eye;Aria Brauchli;jpeg;6240x3512;1837x1034;Makro;1120.99;538.99;56
https://as1.ftcdn.net/jpg/02/15/30/52/500_F_215305249_uOLGSUQ8ms9pGvhedBQ0ysXuEnTVgF3Q.jpg;Avocado Leaf Macro Texture;Eldad Carin Ltd.\Stocksy;jpeg;3744x5616;1125x1688;Makro;1120.99;538.99;73
https://as1.ftcdn.net/jpg/03/78/20/94/500_F_378209471_mloSA9j2fsl93uqppW65tZHtVHuGZAIB.jpg;Lupine macro;Mark Windom\Stocksy;jpeg;4615x3200;1655x1148;Makro;1120.99;538.99;104
https://as2.ftcdn.net/jpg/03/59/99/87/500_F_359998784_MnRgWX4pt49083tRAGari3zaDm8vK35W.jpg;Close up of a Banksia flower;Kathryn Jewkes\Austockphoto;jpeg;5616x3744;1688x1125;Makro;1120.99;538.99;74
https://as1.ftcdn.net/jpg/03/37/07/74/500_F_337077443_DDLFZawKp7F5BeehVVYbJ48i148Brnnu.jpg;Butterfly posing on a leaf. Costa Rica. Pura Vida.;Mauro Grigollo Photographer\Stocksy;jpeg;5862x3908;1688x1125;Makro;1120.99;538.99;86
https://as2.ftcdn.net/jpg/01/87/54/57/500_F_187545774_uZoNww2BIhtRzoXbkqQVMTh2xThe5j1q.jpg;honeybee;Xunbin Pan\Stocksy;jpeg;5859x3910;1687x1126;Makro;1120.99;538.99;78
https://as1.ftcdn.net/jpg/02/95/72/92/500_F_295729235_B2M8XD7l5CY9jMKr8kki0nB4iRIXD0rE.jpg;Portrait of a Javan Hawk-eagle  Indonesia;RooM The Agency;jpeg;6016x4016;1687x1126;Makro;1120.99;538.99;90
https://as1.ftcdn.net/jpg/02/13/01/22/500_F_213012268_rIS9FSMtLoL8RraAB2qJm7VFChzHfuAM.jpg;Porcelain fungi (Oudemansiella mucida)  underside  Hesse  Germany  Europe;imageBROKER;jpeg;5215x3476;1688x1125;Makro;1120.99;538.99;89
https://as1.ftcdn.net/jpg/02/00/25/58/500_F_200255832_zf8EAJk0R9qBo0SvTeB7lgDQGsYatfki.jpg;Macro of fly on flower;WWC;jpeg;6378x4252;1688x1125;Makro;1120.99;538.99;69
https://as1.ftcdn.net/jpg/02/70/67/74/500_F_270677444_rWlLtzChmd4a3vpARXRf6Ii8CMi19R9q.jpg;Ladybeetle walking on leaf macro catch;Laura Stolfi\Stocksy;jpeg;3907x2604;1688x1125;Makro;1120.99;538.99;53
https://as2.ftcdn.net/jpg/03/77/41/11/500_F_377411197_e0s56R6OMPFaE3v0FlLAurH6yjnEHYol.jpg;Abstract muted blue and pink colored clouds in water;Robert Kohlhuber\Stocksy;jpeg;5304x3970;1593x1193;Makro;1120.99;538.99;105
https://as2.ftcdn.net/jpg/02/96/37/49/500_F_296374968_u7DiFiSPPZnag1Z5uf2dG7TEAT18TWUD.jpg;Unopened poppy flower bud;Lena Rudenko;jpeg;6016x4000;1690x1124;Makro;1120.99;538.99;25
https://as1.ftcdn.net/jpg/02/11/00/24/500_F_211002436_efYw3kDLRkdTfm9xulTG79Xnqop3fCq9.jpg;Dahlia on plain background  orange;Bettina Gueber;jpeg;5000x5000;1378x1378;Makro;1120.99;538.99;3
https://as2.ftcdn.net/jpg/03/47/25/21/500_F_347252148_Tc7zljh7X82q8eetmkUDPzBIY5DCw8FG.jpg;Honey swirl and pour ;Simi Jois;jpeg;6016x4016;1687x1126;Makro;2240.99;1120.99;25
https://as1.ftcdn.net/jpg/03/88/89/64/500_F_388896401_riKB32rxrbDAr2pU87uSt9xxJoITVDjD.jpg;Pollen blowing off a grass stem;Tim Booth Photography\Stocksy;jpeg;6214x3530;1829x1039;Makro;1120.99;538.99;87
https://as1.ftcdn.net/jpg/02/36/48/72/500_F_236487210_hOFypfc51NErYzUcIR1GCpDqYLVVDP3l.jpg;Macro shot of ladybug on leaf;Cavan Social;jpeg;7360x4912;1687x1126;Makro;1120.99;538.99;87
https://as2.ftcdn.net/jpg/02/85/32/47/500_F_285324711_R6xdHG37TwyivwxggRTZVW7vb8U9cZIu.jpg;Macro photo of orange leaves with veined pattern. Natural background for layout. Top view;Yaroslav Danylchenko\Stocksy;jpeg;8688x4887;1838x1034;Makro;1120.99;538.99;7
https://as2.ftcdn.net/jpg/02/61/09/13/500_F_261091325_yAnF3d5L3ZrCsOfEUxwAhuZuhwD06eWv.jpg;dahlia macro;ALAN SHAPIRO\Stocksy;jpeg;5999x3721;1750x1086;Makro;1120.99;538.99;76
https://as1.ftcdn.net/jpg/01/84/00/82/500_F_184008224_QcVl3G8X5omzQBKgkaketelTCsY8TqNj.jpg;Macro shot of green leaf;Urs Siedentop &amp; Co\Stocksy;jpeg;5500x3671;1687x1126;Makro;1120.99;538.99;26
https://as2.ftcdn.net/jpg/02/27/62/35/500_F_227623528_ps6V5CpBRf6zk9DVvHWhRz3Ri5a1vjca.jpg;aloe flowering;alanshapiro\Stocksy;jpeg;3789x5683;1126x1688;Makro;1120.99;538.99;38
https://as1.ftcdn.net/jpg/02/32/63/18/500_F_232631824_5nTLRO4aDaiHtNM9HQOPdlnZVhc9o5uk.jpg;Dahlia;Stocksy;jpeg;3840x5760;1125x1688;Makro;1120.99;538.99;35
https://as1.ftcdn.net/jpg/01/72/77/06/500_F_172770648_UA75V5DfXdy5R5L38sMCzCGz4bPl6tlQ.jpg;Dahlia macro;alan shapiro\Stocksy;jpeg;3840x5596;1142x1664;Makro;1120.99;538.99;90
https://as2.ftcdn.net/jpg/03/78/20/81/500_F_378208176_fL4tk7uC2YfS0v0buyX8CaxxVbz00qiV.jpg;Tulip Petals;Mark Windom\Stocksy;jpeg;4800x3133;1706x1114;Makro;1120.99;538.99;41
https://as2.ftcdn.net/jpg/03/75/20/35/500_F_375203583_bGvqU1FnYvIujHBKcLFtAsA8NwmLbCT3.jpg;Macro of red ranunculus flower petals;Kerry Murphy\Stocksy;jpeg;4981x3320;1688x1125;Makro;1120.99;538.99;4
https://as1.ftcdn.net/jpg/02/30/53/94/500_F_230539489_oSvRwo8LbqvNPPQIz5UnhckCQaf1lBKP.jpg;pink dahlia ;Chloe Crespi;jpeg;1799x2698;1126x1688;Makro;1120.99;538.99;9
https://as2.ftcdn.net/jpg/03/84/86/29/500_F_384862990_0Ob05ppyPvbTQZJ2t11etBB43us3Sf5I.jpg;Gloss Trails;Magdalena M\Stocksy;jpeg;4882x6750;1172x1621;Makro;1120.99;538.99;69
https://as2.ftcdn.net/jpg/02/07/16/03/500_F_207160347_jgExvDt5eiZpOIYdn54eTgoZG5cNDsXn.jpg;Female Bluethroat Bird sitting on a branch  West Java  Indonesia;RooM The Agency;jpeg;5589x3726;1688x1125;Makro;1120.99;538.99;35
