image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as2.ftcdn.net/jpg/01/98/11/07/500_F_198110747_9gXfm50SMTSdreDFNivyWEDNd37t6AA5.jpg;Waves crashing on the shore of Big Sur  California;Valery Rizzo;jpeg;7193x4801;1687x1126;Morze;2240.99;1120.99;19
https://as2.ftcdn.net/jpg/01/99/61/29/500_F_199612905_C7t2Xf0CMPiFPA0HMKDXp416VvRTQKnS.jpg;View of rocky coastline;Lucas Cometto;jpeg;5184x3456;1688x1125;Morze;1120.99;538.99;75
https://as1.ftcdn.net/jpg/03/85/81/58/500_F_385815842_zVir0107DyNPzapSWkMARA71zmz9xa1m.jpg;Aerial view of Nusa Penida island surrounded by sea;Tandem Stock;jpeg;5922x3948;1688x1125;Morze;1120.99;538.99;35
https://as2.ftcdn.net/jpg/02/57/50/05/500_F_257500540_0DuwXPNgn3W6ss9Jm7yplCIY8zmgB3V2.jpg;View of Vaeroy island with sea at sunset;Cavan Images;jpeg;9450x3694;2205x862;Morze;1120.99;538.99;56
https://as1.ftcdn.net/jpg/03/90/21/76/500_F_390217692_Yl6f46sJ4FT1tejQwQ0Ne41GRNSeBWna.jpg;early morning light on the coastal cliffs on Freycinet Peninsula Tasmania;Neal Pritchard\Stocksy;jpeg;8532x3767;2074x916;Morze;1120.99;538.99;65
https://as1.ftcdn.net/jpg/02/59/20/56/500_F_259205647_yFZhE0jSjwe4e28B9z7TzNa8JL0wqPre.jpg;View of Broadhaven Beach against blue sky;NaturePL;jpeg;5203x3371;1712x1110;Morze;2240.99;1120.99;101
https://as2.ftcdn.net/jpg/03/88/89/85/500_F_388898523_RA51fDKa8qGnN2JyPygY5FPQQtPkuf8C.jpg;Aerial panorama of forested coastal cliffs;Konstantin Trubavin\Westend61;jpeg;9570x3126;2412x788;Morze;2240.99;1120.99;34
https://as1.ftcdn.net/jpg/03/61/61/18/500_F_361611854_y9dmPmY6CmZXuGhPZ42dxyFLrOh6am2P.jpg;Anse Source d'Argent beach  La Digue  Seychelles;JCB;jpeg;11796x3932;2387x796;Morze;1120.99;538.99;100
https://as2.ftcdn.net/jpg/02/01/37/35/500_F_201373501_y2nYIiEO6a2IRXhZjUugoarWtJ4Fm5Ia.jpg;Scenic view of rocky seashore;RooM The Agency;jpeg;4799x3195;1689x1125;Morze;1120.99;538.99;79
https://as2.ftcdn.net/jpg/02/98/15/55/500_F_298155542_zyGaU1B5fCO2d49b3IAmiRLnoMWouoqj.jpg;Panoramic aerial view of Curonian Spit  Russia;AmazingAerialAgency;jpeg;8675x3000;2344x811;Morze;2240.99;1120.99;61
https://as2.ftcdn.net/jpg/03/85/80/33/500_F_385803351_HuZ9QsJGvjyzcqhuEJxbuVt2pCnmoCiw.jpg;Mauritius  Black River  Tamarin  Helicopter panorama of Indian Ocean and coastal village;Martin Moxter\Westend61;jpeg;10000x3256;2416x787;Morze;2240.99;1120.99;10
https://as2.ftcdn.net/jpg/01/44/91/11/500_F_144911191_LhgbsKyz6Y0MHSDt8bTDmdJKYe77UZGg.jpg;Boats on sea by mountains  Mo'orea  South Pacific ;Salty Wings;jpeg;3652x2737;1592x1193;Morze;2240.99;1120.99;49
https://as1.ftcdn.net/jpg/02/05/93/50/500_F_205935011_8zYlXnZ0p56LFxAzcUC1Lv8a9YoGkkSi.jpg;Baska and its beach in a sunny day  Krk Island  Dalmatia  Adriatic Coast  Croatia.;ClickAlps;jpeg;5472x3648;1688x1125;Morze;1120.99;538.99;66
https://as1.ftcdn.net/jpg/03/71/51/70/500_F_371517081_n8Zwf2dhQl59xiOyMSk5OQdN4ZM9lvUP.jpg;Northern lights over glacier lagoon  Iceland;Westend61;jpeg;5357x7500;1165x1631;Morze;2240.99;1120.99;2
https://as1.ftcdn.net/jpg/03/85/15/98/500_F_385159867_r1gk8tYEZQbsuAXlZPNYdIj4jNff0uZi.jpg;Boardwalk;MEM Studio\Stocksy;jpeg;5246x7865;1126x1688;Morze;1120.99;538.99;58
https://as2.ftcdn.net/jpg/02/12/20/13/500_F_212201322_ZSdMseb0zCeKk9fuzcsviEThY6rPbGw1.jpg;Lake Braies  Italy;Paolo;jpeg;3988x5974;1126x1687;Morze;1120.99;538.99;70
https://as2.ftcdn.net/jpg/02/36/67/67/500_F_236676704_cXqxayzxSMFtle2bzMSfoQSigdRllpLD.jpg;sea and rocks;Andre Silva;jpeg;3845x4807;1233x1541;Morze;1120.99;538.99;96
https://as1.ftcdn.net/jpg/03/04/50/64/500_F_304506464_13HpMjKRC16xbT6STd57pOywKeJsi4DZ.jpg;View of cliff on sea coast;Mint Images;jpeg;3667x5500;1126x1688;Morze;1120.99;538.99;50
https://as1.ftcdn.net/jpg/02/37/30/00/500_F_237300090_cbj240lgTGAKoC9AIGSDtNg50i94pwgI.jpg;Aerial view of a rocky wild beach;Marco Govel\Stocksy;jpeg;5464x3640;1689x1125;Morze;1120.99;538.99;87
https://as1.ftcdn.net/jpg/01/97/54/94/500_F_197549464_NuocELVV7Fqh1eGjJuNHPoc8GZqg7AAK.jpg;view of landscape with forest and beach;Walkerpod Images\Tetra Images;jpeg;5123x3413;1689x1125;Morze;1120.99;538.99;57
https://as2.ftcdn.net/jpg/02/32/16/85/500_F_232168549_yNlD0YFghelfRMTs2Y5UZZjCscJHy2zm.jpg;Portugal  Algarve  Faro district  Lagos  Camilo Beach (Praia do Camilo).;AWL Images;jpeg;6000x4004;1687x1126;Morze;1120.99;538.99;49
