image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as1.ftcdn.net/jpg/03/85/81/64/500_F_385816405_1XqjJHVIC4KksfMFPVSZ6UGPo9lGTmjL.jpg;Scenic view of wave of fog;Tandem Stock;jpeg;4338x2569;1791x1061;Niebo;1120.99;538.99;4
https://as1.ftcdn.net/jpg/03/85/17/14/500_F_385171499_2KTcZtWITy3KpCDLrBbMBdeGj0Mp2LKv.jpg;Irrigation equipment on field against sky during sunset;Nemanja Otic\Westend61;jpeg;7452x4662;1743x1090;Niebo;2240.99;1120.99;96
https://as2.ftcdn.net/jpg/03/88/15/51/500_F_388155118_1qJujHF7iL74cbRxgsAViHrIuNNBRwCI.jpg;MOSCOW CITY;Visual Scientist\Stocksy;jpeg;7952x5304;1688x1126;Niebo;1120.99;538.99;64
https://as1.ftcdn.net/jpg/03/75/00/02/500_F_375000208_66RBurv3RrfJ2M5v4WddjvGaoFVedbxZ.jpg;Forest in winter landscape;Robert Kohlhuber\Stocksy;jpeg;4256x2832;1690x1124;Niebo;1120.99;538.99;51
https://as1.ftcdn.net/jpg/03/88/16/14/500_F_388161405_7pTrDtdOoCeYYPal32kOhmhdmCTJRc8P.jpg;Grain bins in a farmer's field.;Todd Korol\Stocksy;jpeg;5674x3783;1688x1126;Niebo;1120.99;538.99;33
https://as1.ftcdn.net/jpg/03/80/74/44/500_F_380744438_F79pSCeueuoNpPW39tlKUUUWourx86bD.jpg;Magnificent view of mountain ridge under amazing sundown sky in evening in Gran Canaria;Javier Martinez\ADDICTIVE STOCK;jpeg;5992x3995;1688x1126;Niebo;1120.99;538.99;101
https://as1.ftcdn.net/jpg/03/56/51/86/500_F_356518683_xakTe81AljEKIpGghTUTpp6iJvnalnsY.jpg;Amazing view of rocky coast with cliffs and cloudy sky during sundown in Cantabria;Francisco Carrodeguas\ADDICTIVE STOCK;jpeg;5584x3728;1687x1126;Niebo;1120.99;538.99;45
https://as1.ftcdn.net/jpg/02/81/51/38/500_F_281513883_lnQmXLlNNXAueBhl6NVxereEVvSrB6bm.jpg;View of wheat field against sky;Mint Images;jpeg;5122x3415;1688x1126;Niebo;1120.99;538.99;17
https://as1.ftcdn.net/jpg/02/12/20/28/500_F_212202809_XAssafpEGrZagWjaXagWQNrnaosJegW2.jpg;Plitvice Lakes National Park - Infrared;Paolo;jpeg;3945x5909;1126x1687;Niebo;1120.99;538.99;97
https://as1.ftcdn.net/jpg/03/90/21/76/500_F_390217692_Yl6f46sJ4FT1tejQwQ0Ne41GRNSeBWna.jpg;early morning light on the coastal cliffs on Freycinet Peninsula Tasmania;Neal Pritchard\Stocksy;jpeg;8532x3767;2074x916;Niebo;1120.99;538.99;77
https://as1.ftcdn.net/jpg/03/51/35/58/500_F_351355849_IlHAS9iDbm1ImR8I8SglDa5yZKlXuIW3.jpg;Denmark  Henne Strand  Dune landscape;Westend61;jpeg;11600x3212;2619x725;Niebo;2240.99;1120.99;45
https://as1.ftcdn.net/jpg/03/91/37/34/500_F_391373408_Dfu6UxH2vIGV7nar13NdsKnxnQ1tZHGc.jpg;Aiguille Verte Morning;Nathan Yan\Stocksy;jpeg;4943x3648;1605x1184;Niebo;1120.99;538.99;91
https://as1.ftcdn.net/jpg/03/88/89/42/500_F_388894251_36hKoofDl81HejiOeEDaNqXOaMEnKAID.jpg;Mountain peak in the dawn rays of the sun;Sergey Lukankin\Stocksy;jpeg;4248x3640;1489x1276;Niebo;1120.99;538.99;70
https://as2.ftcdn.net/jpg/03/88/89/09/500_F_388890972_DFCBmOYQWo9qgEPFVspOpZwqIe8CJn4M.jpg;Silence;Julia Buruleva\Stocksy;jpeg;4166x2772;1690x1124;Niebo;1120.99;538.99;85
https://as1.ftcdn.net/jpg/03/61/61/18/500_F_361611854_y9dmPmY6CmZXuGhPZ42dxyFLrOh6am2P.jpg;Anse Source d'Argent beach  La Digue  Seychelles;JCB;jpeg;11796x3932;2387x796;Niebo;1120.99;538.99;18
