image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as1.ftcdn.net/jpg/02/92/23/88/500_F_292238867_ryCSb1KRpYsB3pEu8HPj8j92RxJYD89v.jpg;Illuminated camping tent at night with mountain town  aurora and trees;Cavan Images;jpeg;6000x4000;1688x1125;Astrofotografia;1120.99;538.99;2
https://as1.ftcdn.net/jpg/01/78/07/76/500_F_178077606_9IluaeC4IJzsfxtqNWlinnuIeFJ8PTqO.jpg;Watching The Stars;Michael Shainblum\Stocksy;jpeg;6000x3158;1900x1000;Astrofotografia;1120.99;538.99;70
https://as1.ftcdn.net/jpg/03/68/28/08/500_F_368280899_sKKwQeKt0xpFpFF3T2Roc15mKuNJn3cV.jpg;The milky way at the beach;My Dear Bambi\Austockphoto;jpeg;4016x6016;1126x1687;Astrofotografia;1120.99;538.99;3
https://as1.ftcdn.net/jpg/03/91/37/20/500_F_391372092_gnDahJMZGHWFP70uDydCZVXs5etaldWI.jpg;Stars and the Matterhorn;Nathan Yan\Stocksy;jpeg;4151x3403;1522x1248;Astrofotografia;1120.99;538.99;88
https://as1.ftcdn.net/jpg/03/72/35/00/500_F_372350097_zno5yt8VAJbu0jM0olFfsj6QubnbDOQ2.jpg;Star trails on the night sky.;Yaroslav Danylchenko\Stocksy;jpeg;3744x5616;1125x1688;Astrofotografia;1120.99;538.99;66
https://as1.ftcdn.net/jpg/02/27/82/46/500_F_227824678_vq63IclWmgWXi7zmN4hMWZOBizuSiCgU.jpg;Milky Way through Double Arch in Arches National Park  Utah.;Erika Valkovicova;jpeg;4480x6720;1125x1688;Astrofotografia;2240.99;1120.99;97
https://as2.ftcdn.net/jpg/03/77/44/03/500_F_377440335_AFTA3n2oTmr0z0D7Axzj36v4kiBuohbo.jpg;grass tree silhouetted against milky way;Rosalie Dibben\Austockphoto;jpeg;6720x4480;1688x1125;Astrofotografia;1120.99;538.99;100
https://as2.ftcdn.net/jpg/02/70/64/63/500_F_270646317_lROPSkaQk4H9mJSNMaV62T51dTnLDEDp.jpg;Illuminated tree and starry sky;BORISLAV ZHUYKOV\Stocksy;jpeg;4000x6000;1125x1688;Astrofotografia;1120.99;538.99;34
https://as2.ftcdn.net/jpg/03/10/75/37/500_F_310753726_eJxTP9lRxSkxy3nzGvi5J5yi7VtpRSfv.jpg;The California nebula in mono and wider field context;Sara Wager\Stocksy;jpeg;10000x8736;1475x1288;Astrofotografia;1120.99;538.99;22
https://as2.ftcdn.net/jpg/03/63/65/45/500_F_363654502_ezOuqY5uguLKG8j3zJTKbF2KZHI0VJoz.jpg;Mountain and stars;Chase Burnett\Stocksy;jpeg;4000x5176;1212x1568;Astrofotografia;1120.99;538.99;57
https://as2.ftcdn.net/jpg/02/09/16/31/500_F_209163180_nAoYlpBVFgR6nEF0Az7YjZ720864sCVV.jpg;Night photography in Yosemite National Park;danielinskeep\Stocksy;jpeg;4480x6720;1125x1688;Astrofotografia;1120.99;538.99;98
https://as2.ftcdn.net/jpg/02/88/23/95/500_F_288239517_GYZY31gsl7Zyb7xmcnjAPS5pnhXnokNu.jpg;Night sky with the Milky Way in the foreground;Marcos Osorio\ADDICTIVE STOCK;jpeg;6720x4480;1688x1125;Astrofotografia;1120.99;538.99;14
https://as2.ftcdn.net/jpg/03/69/10/75/500_F_369107558_zSQ0cvCfATBYFojQyGg8VjJ62ss175Cw.jpg;Details of Milky Way.;Javier Pardina\Stocksy;jpeg;4480x6720;1125x1688;Astrofotografia;1120.99;538.99;103
https://as1.ftcdn.net/jpg/02/32/66/20/500_F_232662012_Y3vDHO4vEpp0iXCPYR4Q5ZZH3y7IRGQp.jpg;Night sky in Glacier National Park;Stocksy;jpeg;3840x5760;1125x1688;Astrofotografia;1120.99;538.99;92
https://as2.ftcdn.net/jpg/01/77/19/87/500_F_177198775_5cOe2pXfcUSl4qauokvvXzVbogZ4VE7R.jpg;alpine austrian winter landscape under starry night with the milky way;Leander Nardin\Stocksy;jpeg;5070x3380;1688x1125;Astrofotografia;1120.99;538.99;8
https://as1.ftcdn.net/jpg/02/15/27/44/500_F_215274414_sGkr8lnLzTFDojqt5O8vQa40eec2G0Hz.jpg;Night photography in Yosemite National Park;Daniel Inskeep\Stocksy;jpeg;3816x2544;1688x1125;Astrofotografia;1120.99;538.99;82
https://as2.ftcdn.net/jpg/02/79/00/67/500_F_279006717_Dnb85zQxHBGhLRR1E7rBO8M7am2KkDLo.jpg;Red moon during lunar eclipse;Ryan Longnecker;jpeg;2480x3101;1233x1541;Astrofotografia;2240.99;1120.99;82
https://as1.ftcdn.net/jpg/03/75/00/74/500_F_375007479_RGi4vFsW4XhbXBm065jbvNgWZJfXjVQ1.jpg;famous three pinnacles at the blue hour;Akela - from alp to alp\Stocksy;jpeg;3456x5184;1125x1688;Astrofotografia;1120.99;538.99;79
