image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as2.ftcdn.net/jpg/03/07/47/89/500_F_307478979_BoOujV0ayaIov3Vyol8HR7a6g9edRulS.jpg;Reflected sunlight on an apartment building in new york city;David Keller\Stocksy;jpeg;7952x5304;1688x1126;Architektura;1120.99;538.99;4
https://as2.ftcdn.net/jpg/02/32/58/35/500_F_232583502_0HalgBHtggcja6vIz2vqNgI9mboYsW5j.jpg;Grey spiral building;Stocksy;jpeg;5615x3737;1690x1125;Architektura;1120.99;538.99;45
https://as1.ftcdn.net/jpg/01/15/09/08/500_F_115090855_qgozLt1fa7mSkr9W2o9w3MipyTQxj5mP.jpg;Woman standing at railroad station platform;Wavebreak Media;jpeg;8688x5792;1688x1125;Architektura;2240.99;1120.99;55
https://as2.ftcdn.net/jpg/01/85/19/03/500_F_185190334_9eolTNXXTxu9aR5KtxZguVR75SSyJSkI.jpg;architecture minimal  design desert Africa nomad travel;Igor Madjinca\Stocksy;jpeg;3744x5616;1125x1688;Architektura;1120.99;538.99;75
https://as1.ftcdn.net/jpg/03/75/01/36/500_F_375013643_nEWAmKbGfIZebentt8MwpOOTSLQ8PxH3.jpg;Bohemian interior;ALEKSANDAR NOVOSELSKI\Stocksy;jpeg;6718x4479;1688x1126;Architektura;1120.99;538.99;56
https://as2.ftcdn.net/jpg/03/18/05/15/500_F_318051599_83w3TgfScztsdLUqtLxM899ApUAHGWlF.jpg;Empty Illuminated Street At Night During Winter;koukichi takahashi\EyeEm;jpeg;5472x3648;1688x1125;Architektura;1120.99;538.99;88
https://as2.ftcdn.net/jpg/03/00/56/99/500_F_300569972_Bxce36fHxWnPeJHbr5NafLVvx0FqIZ0J.jpg;crosswalk;Takashi Yasui;jpeg;4000x6000;1125x1688;Architektura;1120.99;538.99;43
https://as1.ftcdn.net/jpg/02/27/57/54/500_F_227575430_vPqY4ECwt8z4giA9gdqR8FoPOupZd0LO.jpg;paris view;kirillbordon\Stocksy;jpeg;2285x3035;1196x1589;Architektura;1120.99;538.99;41
https://as2.ftcdn.net/jpg/01/46/22/83/500_F_146228372_56aSRVHTsevtqth2JZRae5idkxpyTsyO.jpg;Hall between rooms in modern home;BUILT Images\Blend Images;jpeg;3823x5100;1193x1592;Architektura;2240.99;1120.99;46
https://as2.ftcdn.net/jpg/01/94/56/27/500_F_194562786_yDzgxfHcG2S3QT3wgqaCr2KAZfKUjz3Y.jpg;Close up of window;Eduardo Lopez\ADDICTIVE STOCK;jpeg;5830x3887;1688x1126;Architektura;1120.99;538.99;104
https://as2.ftcdn.net/jpg/02/96/38/87/500_F_296388740_1H2qVlkA6YWihrPFB5vTXXBBZT6STKZK.jpg;View of empty stadium;Will Milne;jpeg;2700x3023;1303x1459;Architektura;1120.99;538.99;23
https://as1.ftcdn.net/jpg/01/95/48/12/500_F_195481200_mgiqGQPzAWc95q6FTJLftLJEw6BoAXCm.jpg;Hungary\Budapest  Fishermen's Bastion;Grand Tour;jpeg;3628x5079;1165x1631;Architektura;1120.99;538.99;42
https://as1.ftcdn.net/jpg/01/20/46/04/500_F_120460403_fTOR9eZ7oTZJm1xBYKNDR9zPhuQvVkm0.jpg;Rear view of woman ascending steps of New York City Public Library;Astrakan Images;jpeg;5700x3800;1688x1125;Architektura;2240.99;1120.99;14
https://as1.ftcdn.net/jpg/03/67/62/82/500_F_367628217_87W0dhwqfeVBjRpSzVhKODfUz8P4gaof.jpg;Designer looking away in studio;Hero Images;jpeg;6720x4480;1688x1125;Architektura;2240.99;1120.99;99
https://as1.ftcdn.net/jpg/03/76/78/96/500_F_376789626_Cz5Y3U4absGCbP73bIMNoxkqihMrTqzV.jpg;View of ancient temples against sky during sunrise;Tandem Stock;jpeg;7360x4912;1687x1126;Architektura;1120.99;538.99;47
